COUNT;HORN RULES (filtered)
2/72;fotograf ---> mann
2/72;Bodø & kvinne ---> Australia
2/72;sykepleier & kvinne & mellom 40 og 50 ---> Nord Amerika
2/72;yngre enn 20 & Trondheim & Asia & mann & modell ---> FALSE
2/72;Australia & mann & modell ---> Ålesund
2/72;Australia & kvinne & mellom 50 og 60 ---> modell
2/72;Bergen & Europa ---> mann
2/72;yngre enn 20 & mann & modell ---> FALSE
2/72;frisør & Asia & mann ---> eldre enn 60
2/72;Bergen & mann & modell ---> FALSE
2/72;mellom 20 og 30 & Australia & mann & modell ---> FALSE
2/72;sykepleier & Afrika & mann ---> Bodø
2/72;mellom 20 og 30 & Bergen & Asia & kvinne ---> FALSE
1/72;Afrika & kvinne ---> Trondheim
1/72;Afrika & kvinne ---> frisør
1/72;Asia & kvinne ---> modell
1/72;frisør & Nord Amerika & mann ---> Bodø
1/72;mellom 30 og 40 ---> kvinne
1/72;mellom 20 og 30 & frisør & Ålesund & Sør Amerika & mann ---> FALSE
1/72;Bergen & Sør Amerika & kvinne ---> frisør
1/72;Bergen & Sør Amerika & kvinne ---> yngre enn 20
1/72;Stavanger & Afrika & kvinne ---> frisør
1/72;Stavanger & Afrika & kvinne ---> mellom 40 og 50
1/72;frisør & Tromsø & mann ---> yngre enn 20
1/72;yngre enn 20 & Bodø & Sør Amerika & kvinne ---> modell
1/72;Bodø & Afrika & kvinne ---> FALSE
1/72;Tromsø & Sør Amerika & kvinne & mellom 40 og 50 ---> FALSE
1/72;mellom 20 og 30 & Oslo & Nord Amerika & kvinne ---> FALSE
1/72;Ålesund & Asia & kvinne & mellom 40 og 50 ---> FALSE
1/72;mellom 20 og 30 & Ålesund ---> frisør
1/72;mellom 20 og 30 & Ålesund ---> kvinne
1/72;Ålesund & Asia & kvinne ---> FALSE
1/72;Asia & kvinne & mellom 50 og 60 ---> Bergen
1/72;Kristiansand & Australia ---> elektriker
1/72;Kristiansand & Australia ---> mellom 50 og 60
1/72;Stavanger & Sør Amerika & kvinne & mellom 40 og 50 ---> frisør
1/72;Tromsø & kvinne & mellom 50 og 60 ---> Afrika
1/72;Trondheim & Europa & kvinne & mellom 40 og 50 ---> frisør
1/72;frisør & mann & eldre enn 60 ---> Nord Amerika
1/72;frisør & mann & mellom 50 og 60 ---> Bergen
1/72;mellom 20 og 30 & Tromsø & Sør Amerika & kvinne ---> frisør
1/72;yngre enn 20 & Bergen & Afrika & kvinne ---> modell
1/72;Bergen & kvinne & mellom 40 og 50 ---> FALSE
1/72;Bodø & Australia & kvinne & mellom 50 og 60 ---> FALSE
1/72;Oslo & Europa & kvinne & mellom 50 og 60 ---> FALSE
1/72;Stavanger & Nord Amerika & kvinne ---> FALSE
1/72;yngre enn 20 & Stavanger & Asia & kvinne ---> FALSE
1/72;Australia & kvinne & mellom 40 og 50 ---> frisør
1/72;Trondheim & Nord Amerika & kvinne ---> frisør
1/72;mellom 20 og 30 & Ålesund & kvinne ---> frisør
1/72;mellom 30 og 40 & Tromsø & Australia & kvinne ---> modell
1/72;yngre enn 20 & Tromsø & kvinne ---> frisør
