Year;Rank 1;Rank 2;Rank 3;Rank 4;Rank 5;Rank 6;Rank 7;Rank 8;Rank 9;Rank 10
1900;OLE;JOHAN;HANS;KARL;KRISTIAN;EINAR;HARALD;OLAF;OLAV;SVERRE
1901;JOHAN;KARL;OLE;HANS;EINAR;OLAV;HARALD;OLAF;ERLING;KRISTIAN
1902;JOHAN;OLE;KARL;HANS;EINAR;SVERRE;KRISTIAN;OLAV;ERLING;HARALD
1903;JOHAN;OLE;HANS;KARL;EINAR;OLAV;ERLING;KRISTIAN;SVERRE;ARNE
1904;JOHAN;OLE;HANS;KARL;EINAR;ERLING;HARALD;OLAV;SVERRE;KRISTIAN
1905;OLE;JOHAN;KARL;OLAV;HANS;EINAR;HARALD;ARNE;OLAF;SVERRE
1906;OLAV;JOHAN;KARL;OLE;ARNE;HANS;EINAR;OLAF;HÅKON;HARALD
1907;OLAV;JOHAN;ARNE;HANS;EINAR;OLE;KARL;SVERRE;HARALD;ERLING
1908;OLAV;JOHAN;ARNE;OLE;EINAR;HANS;HARALD;KARL;SVERRE;ERLING
1909;OLAV;ARNE;JOHAN;OLE;HANS;EINAR;KARL;SVERRE;HARALD;ERLING
1910;OLAV;ARNE;JOHAN;OLE;EINAR;ERLING;HANS;HARALD;SVERRE;OLAF
1911;ARNE;OLAV;JOHAN;HANS;EINAR;HARALD;OLE;SVERRE;KARL;ERLING
1912;ARNE;OLAV;HANS;JOHAN;SVERRE;EINAR;OLE;HARALD;ERLING;KARL
1913;ARNE;OLAV;EINAR;JOHAN;SVERRE;HANS;HARALD;OLE;ERLING;KARL
1914;ARNE;OLAV;SVERRE;JOHAN;EINAR;HANS;ERLING;HARALD;OLE;KARL
1915;ARNE;OLAV;JOHAN;HANS;SVERRE;EINAR;OLE;ERLING;KARL;HARALD
1916;ARNE;OLAV;HANS;SVERRE;JOHAN;OLE;EINAR;ERLING;KÅRE;KARL
1917;ARNE;OLAV;HANS;EINAR;JOHAN;OLE;SVERRE;ERLING;LEIF;KÅRE
