ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);P(PPBS)
ryan;0;6;0.0;0.004;0.004
jonas;0;6;0.0;0.055;0.055
peder;0;6;0.0;0.038;0.038
klasse;5;1;0.019;0.022;0.003
de;5;1;0.011;0.013;0.002
storm;5;1;0.024;0.038;0.014
pr;4;2;0.008;0.013;0.005
gut;0;6;0.0;0.023;0.023
forkortelse;6;0;0.027;0.0;-0.027
hjemmehjelp;6;0;0.026;0.0;-0.026
besatt;4;2;0.097;0.035;-0.062
husmor;6;0;0.029;0.0;-0.029
voksen;1;5;0.041;0.033;-0.008
optimist;1;4;0.02;0.028;0.008
astronaut;5;0;0.024;0.0;-0.024
profet;0;5;0.0;0.033;0.033
der;5;0;0.015;0.0;-0.015
skole;5;0;0.011;0.0;-0.011
du;4;1;0.042;0.047;0.005
mennesker;5;0;0.021;0.0;-0.021
mon;5;0;0.009;0.0;-0.009
##k;5;0;0.021;0.0;-0.021
li;5;0;0.012;0.0;-0.012
luke;0;5;0.0;0.008;0.008
sander;0;5;0.0;0.084;0.084
elias;0;5;0.0;0.04;0.04
charlie;0;5;0.0;0.005;0.005
kandidat;3;2;0.017;0.016;-0.001
ol;2;3;0.005;0.006;0.001
lego;0;5;0.0;0.023;0.023
kriger;1;4;0.01;0.033;0.023
isak;0;5;0.0;0.052;0.052
maskin;4;1;0.039;0.041;0.002
megler;2;3;0.03;0.029;-0.001
misjonær;5;0;0.047;0.0;-0.047
ei;2;2;0.052;0.045;-0.007
søker;4;0;0.026;0.0;-0.026
plante;3;1;0.022;0.005;-0.016
farmaceut;4;0;0.03;0.0;-0.03
sexy;4;0;0.015;0.0;-0.015
meget;2;2;0.024;0.022;-0.002
i;2;2;0.016;0.018;0.002
den;2;2;0.017;0.018;0.001
sms;1;3;0.013;0.007;-0.005
kort;3;1;0.01;0.006;-0.004
soldater;4;0;0.023;0.0;-0.023
sanger;4;0;0.023;0.0;-0.023
arbeider;3;1;0.017;0.011;-0.006
lilly;4;0;0.004;0.0;-0.004
beste;4;0;0.027;0.0;-0.027
anita;4;0;0.03;0.0;-0.03
ada;4;0;0.076;0.0;-0.076
sean;0;4;0.0;0.006;0.006
jacob;0;4;0.0;0.012;0.012
sv;3;1;0.041;0.031;-0.01
fl;3;1;0.024;0.017;-0.007
gresk;0;4;0.0;0.164;0.164
korban;1;3;0.021;0.022;0.001
fugl;4;0;0.194;0.0;-0.194
