ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);PPBS
h;0;1;0;0.014;0.014
parker;0;1;0;0.006;0.006
keiser;0;1;0;0.028;0.028
tom;0;1;0;0.011;0.011
roman;0;1;0;0.013;0.013
mester;0;1;0;0.022;0.022
##sel;0;1;0;0.028;0.028
ø;0;1;0;0.018;0.018
fodboldspiller;0;1;0;0.021;0.021
irland;0;1;0;0.015;0.015
rory;0;1;0;0.01;0.01
gallagher;0;1;0;0.002;0.002
arm;0;1;0;0.017;0.017
tsar;0;1;0;0.006;0.006
dk;0;1;0;0.014;0.014
band;0;1;0;0.029;0.029
jurist;0;1;0;0.019;0.019
max;0;1;0;0.012;0.012
hans;0;1;0;0.023;0.023
gud;0;1;0;0.016;0.016
kirke;0;1;0;0.015;0.015
oscar;0;1;0;0.003;0.003
thor;0;1;0;0.006;0.006
o;0;1;0;0.008;0.008
rom;0;1;0;0.012;0.012
